feedbackScore,positiveFeedbackPercent,price,returnsAccepted,startDay,soldDay,startHour,soldHour,titleLength,daysToSell
0,0,29.69,1,3,3,16,17,43,0.05990740740740741
5555,100,719.99,1,5,3,15,17,72,82.10708333333334
0,0,29.86,1,3,3,16,17,73,0.027476851851851853
6,100,95,1,3,3,15,17,50,0.0669212962962963
418,100,17,1,2,3,1,17,77,211.66927083333334
0,0,29.88,1,3,3,16,17,66,0.031099537037037037
3,0,60,0,1,3,17,17,65,8.970891203703705
0,0,29.87,1,3,3,16,16,68,0.021215277777777777
299,98.4,33,0,3,3,14,16,47,42.08284722222222
1137,99.7,150,0,1,3,9,16,67,9.320682870370371
2361,99.6,38.99,0,3,3,13,16,78,0.12212962962962963
0,0,29.78,1,3,3,16,16,72,0.028217592592592593
0,0,29.99,1,3,3,15,16,66,0.05060185185185185
299,100,17.77,1,3,3,8,16,73,126.3249537037037
0,0,29.76,1,3,3,15,16,60,0.008344907407407407
1,100,170,1,6,3,21,16,55,17.76703703703704
5818,99.6,49.99,1,0,3,21,16,77,2.793113425925926
21,91.3,25,0,0,3,0,16,61,3.647638888888889
155,100,229.5,0,1,3,21,15,78,1.7494560185185186
0,0,29.69,1,3,3,15,15,80,0.015231481481481481
11,100,225,0,5,3,12,15,38,12.131354166666666
837,100,95,1,1,3,23,15,80,1.6962962962962962
0,0,29.49,1,3,3,15,15,67,0.015243055555555555
1101,100,40,0,3,3,5,15,80,28.433310185185185
31955,98.2,7.99,1,3,3,10,15,80,245.16480324074075
31955,98.2,7.99,1,3,3,10,15,80,245.16480324074075
31955,98.2,7.99,1,3,3,10,15,80,245.16480324074075
31955,98.2,7.99,1,3,3,10,15,80,245.16480324074075
31955,98.2,7.99,1,3,3,10,15,80,245.16480324074075
1414,100,34.99,0,1,3,15,15,67,30
2815,98.7,11.99,1,2,3,14,15,78,330
2815,98.7,17.99,1,2,3,14,15,78,330
2815,98.7,11.99,1,2,3,14,15,78,330
66,100,58,0,2,3,14,15,79,22.02460648148148
32025,99.8,22,1,2,3,7,14,80,1.285613425925926
11024,99.7,34.99,1,1,3,21,14,62,617.6841087962963
3112,99.7,139.95,0,4,3,18,14,80,5.848136574074074
81,94.7,99,0,4,3,20,14,45,5.748298611111111
19300,97,308,1,1,3,18,14,53,162.83292824074073
19300,97,308,1,1,3,18,14,53,162.83292824074073
19596,97,275,1,3,3,0,14,44,126.55606481481482
19387,97,250,1,4,3,21,14,44,12.669444444444444
19596,97,275,1,3,3,0,14,44,126.55606481481482
19387,97,250,1,4,3,21,14,44,12.669444444444444
2003,99,59.99,1,3,3,17,13,74,20.82903935185185
0,0,120,0,3,3,0,13,14,0.5730787037037037
679,99.1,24.99,1,5,3,22,13,70,4.6455671296296295
13,92.9,9.99,1,3,3,8,13,72,14.19369212962963
13,92.9,9.99,1,3,3,8,13,72,14.19369212962963
29,94.4,13.64,1,3,3,17,13,78,62.839375
